Input file,ID,Dataset,File name,Similarity (%),Left top,Right bottom
20210811_143945452_iOS.jpg,6,.\input\varen\,000008.jpg,32.57,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,5,.\input\varen\,000007.jpg,31.0,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,2,.\input\varen\,000002.jpg,26.73,"(32,68)","(139,175)"
20210811_143945452_iOS.jpg,7,.\input\varen\,000009.jpg,26.25,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,2,.\input\varen\,000002.jpg,22.94,"(32,68)","(139,175)"
20210811_143945452_iOS.jpg,3,.\input\varen\,000005.jpg,22.07,"(32,80)","(139,187)"
20210811_143945452_iOS.jpg,4,.\input\varen\,000006.jpg,21.11,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,1,.\input\varen\,000001.jpg,20.71,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,3,.\input\varen\,000005.jpg,19.98,"(32,80)","(139,187)"
20210811_143945452_iOS.jpg,8,.\input\varen\,000010.jpg,19.34,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,5,.\input\varen\,000007.jpg,18.42,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,1,.\input\varen\,000001.jpg,14.28,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,6,.\input\varen\,000008.jpg,13.57,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,4,.\input\varen\,000006.jpg,13.02,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,8,.\input\varen\,000010.jpg,7.93,"(46,86)","(135,176)"
20210811_143945452_iOS.jpg,7,.\input\varen\,000009.jpg,4.53,"(46,86)","(135,176)"
